place,time,pace,age,gender,location,state,divPlace,divTot
4494,92.25,9.225,38.0,M,Chesapeake Beach MD,MD,690.0,1093.0
6298,106.35,10.635,33.0,M,Washington DC,DC,1322.0,1490.0
2502,89.33,8.933,55.0,F,McLean VA,VA,37.0,236.0
8176,113.5,11.35,24.0,F,Alexandria VA,VA,878.0,974.0
3413,86.52,8.652000000000000,54.0,M,San Francisco CA,CA,213.0,483.0
8008,112.3,11.23,42.0,F,Chevy Chase MD,MD,785.0,974.0
8791,118.45,11.845,36.0,F,Fairfax VA,VA,1215.0,1367.0
3987,95.17,9.517,25.0,F,Arlington VA,VA,1230.0,2782.0
3451,93.25,9.325,25.0,F,Philadelphia PA,PA,1074.0,2782.0
1046,72.37,7.237,43.0,M,Pasadena MD,MD,111.0,931.0
3484,86.9,8.69,55.0,M,Falls Church VA,VA,138.0,375.0
2987,84.47,8.447000000000000,30.0,M,Potomac MD,MD,659.0,1490.0
4427,96.65,9.665,39.0,F,Walnut CA,CA,587.0,1367.0
6496,108.93,10.893,40.0,M,Springfield VA,VA,846.0,931.0
5827,101.58,10.158,30.0,F,Washington DC,DC,1297.0,2228.0
1224,82.78,8.278000000000000,24.0,F,Arlington VA,VA,164.0,974.0
4942,98.32,9.832,45.0,F,Potomac MD,MD,255.0,554.0
9579,134.18,13.418,33.0,F,Sterling VA,VA,2189.0,2228.0
6425,107.98,10.798,41.0,M,Arlington VA,VA,831.0,931.0
5951,102.08,10.208,36.0,F,Alexandria VA,VA,809.0,1367.0
8609,116.78,11.678,38.0,F,Edison NJ,NJ,1189.0,1367.0
3586,87.42,8.742,45.0,M,Branchville NJ,NJ,314.0,648.0
3823,94.58,9.458,35.0,F,New Market MD,MD,517.0,1367.0
2123,79.25,7.925,37.0,M,McLean VA,VA,307.0,1093.0
4517,92.37,9.237,23.0,M,Washington DC,DC,229.0,347.0